observation_date,group_id,location_direction_id,direction,observed_hours,bicycles_per_observed_hour,counter_site,longitude,latitude,bike_share_stations_1km,bike_share_trip_ends_1km,cyclist_ksi_collisions_1km,cycling_network_km_1km,neighbourhood_id,neighbourhood_population,neighbourhood_low_income_pct,neighbourhood_improvement_area,day_of_week
2024-06-25,7563f73ef205,17,Westbound,24.0,1.083333,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,1
2024-06-26,7563f73ef205,17,Westbound,24.0,0.625,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,2
2024-06-27,7563f73ef205,17,Westbound,24.0,1.083333,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,3
2024-06-28,7563f73ef205,17,Westbound,24.0,1.458333,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,4
2024-06-29,7563f73ef205,17,Westbound,24.0,0.75,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,5
2024-06-30,7563f73ef205,17,Westbound,24.0,0.708333,"Sheppard Ave W, west of Sentinel Rd (multi-use path)",-79.4921287,43.743467,2,171,0,11.592,155,17970,9.6,1,6
2024-06-01,dd304ccf6d8b,18,Northbound,24.0,42.791667,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,5
2024-06-02,dd304ccf6d8b,18,Northbound,24.0,26.416667,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,6
2024-06-03,dd304ccf6d8b,18,Northbound,24.0,39.958333,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,0
2024-06-04,dd304ccf6d8b,18,Northbound,24.0,49.166667,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,1
2024-06-05,dd304ccf6d8b,18,Northbound,24.0,45.958333,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,2
2024-06-06,dd304ccf6d8b,18,Northbound,24.0,47.125,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,3
2024-06-07,dd304ccf6d8b,18,Northbound,24.0,35.291667,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,4
2024-06-08,dd304ccf6d8b,18,Northbound,24.0,33.291667,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,5
2024-06-09,dd304ccf6d8b,18,Northbound,24.0,26.75,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,6
2024-06-10,dd304ccf6d8b,18,Northbound,24.0,41.125,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,0
2024-06-11,dd304ccf6d8b,18,Northbound,24.0,47.791667,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,1
2024-06-12,dd304ccf6d8b,18,Northbound,24.0,51.75,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,2
2024-06-13,dd304ccf6d8b,18,Northbound,24.0,48.916667,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,3
2024-06-14,dd304ccf6d8b,18,Northbound,24.0,45.75,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,4
2024-06-15,dd304ccf6d8b,18,Northbound,24.0,42.458333,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,5
2024-06-16,dd304ccf6d8b,18,Northbound,24.0,36.166667,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,6
2024-06-17,dd304ccf6d8b,18,Northbound,24.0,43.791667,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,0
2024-06-18,dd304ccf6d8b,18,Northbound,24.0,42.208333,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,1
2024-06-19,dd304ccf6d8b,18,Northbound,24.0,48.666667,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,2
2024-06-20,dd304ccf6d8b,18,Northbound,24.0,39.083333,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,3
2024-06-21,dd304ccf6d8b,18,Northbound,24.0,39.541667,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,4
2024-06-22,dd304ccf6d8b,18,Northbound,24.0,31.875,"Sherbourne St, north of Gerrard St",-79.3725671,43.662038,41,146509,6,10.3249,73,21490,23.3,0,5
